,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
8540772,4344802792,2018-12-04T00:00:00,725.0,,,CA,201909.0,,FORD,PA,GY,6220 MAIN ST S,00500,55.0,80.69AP+,NO STOP/STANDING,93.0,6478622.113363,1816361.7386259998
8539504,4344520331,2018-12-04T00:00:00,1402.0,,,CA,3.0,,BMW,PA,SL,4800 AVOCA ST,00600,56.0,5204A-,DISPLAY OF TABS,25.0,6502371.184789,1870741.127251
951778,4282727223,2016-06-02T00:00:00,656.0,,,CA,201704.0,,TOYT,PA,BL,1101 8TH ST E,00600,56.0,80.56E4+,RED ZONE,93.0,6481442.1,1840515.3
5459912,4309901470,2017-06-22T00:00:00,1023.0,,,CA,201805.0,,BUIC,PA,SL,8741 DARBY AVENUE,00337,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6400382.766512998,1906365.70501
2490440,4262148074,2015-07-22T00:00:00,1019.0,,,CA,201505.0,,FORD,PA,RD,10445 LARWIN AVE,00337,53.0,22500.1+,PARKED IN FIRE LANE,63.0,6376237.4,1917755.9
6183838,4317009922,2017-10-13T00:00:00,821.0,,,CA,201704.0,,ISU,PA,RD,10338 BARTEE AVE,00300,53.0,5204A-,DISPLAY OF TABS,25.0,6428534.32654046,1916635.38111396
5225708,4306043405,2017-05-12T00:00:00,1106.0,,,CA,201712.0,,LEXS,PA,GO,4518 TOLAND WAY,00675,56.0,80.73.2,EXCEED 72HRS-ST,68.0,6495537.49489369,1866679.85400606
3316590,4272099230,2015-12-08T00:00:00,1218.0,,,CA,201511.0,,NISS,PA,BL,1800 EL CERRITO PL,00483,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6457275.3,1860413.2
7596887,4332372995,2018-06-03T00:00:00,2238.0,,,CA,201901.0,,FORD,PU,BL,15632 SATICOY ST,00310,53.0,22500H,DOUBLE PARKING,68.0,6418456.2314129975,1898575.1922560001
1225646,4287357336,2016-07-18T00:00:00,1123.0,,,CA,201702.0,,LEXS,PA,WT,210 S TOLUCA ST,6T4,56.0,5200,DISPLAY OF PLATES,25.0,6483317.6,1844620.5
